BIL,State,Education District,School Level,Type of School,School Code,School Name,Correspondence Address,Poscode,City,Urban/Rural,Gov/Gov Aided,Enrollment,N. of Teachers,PreSchool,Integration,X Cood,Y Cood,Student:Teacher Ratio
3520,Johor,Ppd Pasir Gudang,Rendah,SK,JBA1063,Sekolah Kebangsaan Permas Jaya 1,"Jalan Permas 1/9, Taman Permas Jaya",81750,Masai,Bandar,Kerajaan,725.0,49.0,Ada,Tiada,103.822356,1.511834,14.796
3521,Johor,Ppd Johor Bahru,Rendah,SK,JBA1064,Sekolah Kebangsaan Taman Perling,"Jln Persisiran Perling 1,  Tampoi",81200,Johor Bahru,Bandar,Kerajaan,946.0,75.0,Ada,Ada,103.683648705482,1.49430378746462,12.613
3522,Johor,Ppd Johor Bahru,Rendah,SK,JBA1065,Sekolah Kebangsaan Bandar Uda 2,"Jln Padi Mahsuri, Bandar Baru Uda",81200,Johor Bahru,Bandar,Kerajaan,1082.0,68.0,Ada,Tiada,103.720287680626,1.4940195699795,15.912
3523,Johor,Ppd Pasir Gudang,Rendah,SK,JBA1066,Sekolah Kebangsaan Taman Rinting 1,"Jalan Angsana 10, Taman Rinting",81750,Masai,Bandar,Kerajaan,788.0,58.0,Ada,Tiada,103.873731,1.485155,13.586
3524,Johor,Ppd Pasir Gudang,Rendah,SK,JBA1067,Sekolah Kebangsaan Taman Johor Jaya 1,"Jalan Bakawali 13, Taman Johor Jaya",81100,Johor Bahru,Bandar,Kerajaan,319.0,28.0,Ada,Tiada,103.796467,1.545438,11.393
3525,Johor,Ppd Johor Bahru,Rendah,SK,JBA1068,Sekolah Kebangsaan Taman Suria,"5512, Jln Suria Utama, Taman Suria",81100,Johor Bahru,Bandar,Kerajaan,877.0,63.0,Ada,Ada,103.762156963348,1.50184894383552,13.921
3526,Johor,Ppd Johor Bahru,Rendah,SK,JBA1069,Sekolah Kebangsaan Seri Perling 2,"Jalan Camar 9, Taman Perling",81200,Johor Bahru,Bandar,Kerajaan,895.0,56.0,Ada,Tiada,103.675972223282,1.49445930267676,15.982
3527,Johor,Ppd Johor Bahru,Rendah,SK,JBA1070,Sekolah Kebangsaan Perumahan Tampoi 2,Jalan Persiaran Selasih,81200,Johor Bahru,Bandar,Kerajaan,757.0,52.0,Ada,Ada,103.702724575996,1.51743789427431,14.558
3528,Johor,Ppd Johor Bahru,Rendah,SK,JBA1071,Sekolah Kebangsaan Taman Universiti 2,"Jln Perubatan 12, Tmn Universiti",81300,Skudai,Bandar,Kerajaan,566.0,45.0,Ada,Ada,103.612484335899,1.53165929494468,12.578
3529,Johor,Ppd Johor Bahru,Rendah,SK,JBA1072,Sekolah Kebangsaan Taman Selesa Jaya,Jln Silat Cekak 1 Tmn Selesa Jaya,81300,Skudai,Bandar,Kerajaan,464.0,40.0,Ada,Tiada,103.638163805008,1.49070548413882,11.6
3530,Johor,Ppd Pasir Gudang,Rendah,SK,JBA1073,Sekolah Kebangsaan Taman Permas Jaya 2,Jln Permas 3/10 Taman Permas Jaya,81750,Masai,Bandar,Kerajaan,464.0,38.0,Ada,Ada,103.819910287857,1.51507301425707,12.211
